SERIES,DESCRIPTION,,
IUDLNPY,Yield from British Government Securities - 20 year Nominal Par Yield,,
IUDMNPY,Yield from British Government Securities - 10 year Nominal Par Yield,,
IUDSNPY,Yield from British Government Securities - 5 year Nominal Par Yield,,
,,,
DATE,IUDLNPY,IUDMNPY,IUDSNPY
01-Nov-93,,7.0536,
02-Nov-93,,7.0289,
03-Nov-93,,6.985,
04-Nov-93,,6.9859,
05-Nov-93,,7.1002,
08-Nov-93,,7.083,
09-Nov-93,,7.0071,
10-Nov-93,,7.0279,
11-Nov-93,,7.0342,
12-Nov-93,,6.9468,
15-Nov-93,,6.9444,
16-Nov-93,,6.9236,
17-Nov-93,,6.8378,
18-Nov-93,,6.8315,
19-Nov-93,,6.8253,
22-Nov-93,,6.903,
23-Nov-93,,6.8827,
24-Nov-93,,6.8902,
25-Nov-93,,6.8631,
26-Nov-93,,6.8467,
29-Nov-93,,6.8219,
30-Nov-93,,6.7668,
01-Dec-93,,6.6427,6.1628
02-Dec-93,,6.6665,6.1375
03-Dec-93,,6.6224,6.0633
06-Dec-93,,6.5792,5.9834
07-Dec-93,,6.5847,5.998
08-Dec-93,,6.521,5.9411
09-Dec-93,,6.492,5.9031
10-Dec-93,,6.4692,5.9049
13-Dec-93,,6.4414,5.8846
14-Dec-93,,6.4443,5.8834
15-Dec-93,,6.4148,5.8883
16-Dec-93,,6.3723,5.8646
17-Dec-93,,6.313,5.8355
20-Dec-93,,6.3068,5.8613
21-Dec-93,,6.3604,5.8902
22-Dec-93,,6.3673,5.9156
23-Dec-93,,6.316,5.8634
24-Dec-93,,6.3002,5.8461
29-Dec-93,,6.2317,5.8059
30-Dec-93,,6.2466,5.8095
31-Dec-93,,6.2391,5.8114
04-Jan-94,,6.3541,5.9028
05-Jan-94,,6.4026,5.9479
06-Jan-94,,6.3942,5.9384
07-Jan-94,,6.3164,5.8961
10-Jan-94,,6.3332,5.9038
11-Jan-94,,6.3978,5.9549
12-Jan-94,,6.3891,5.9674
13-Jan-94,,6.4733,6.0252
14-Jan-94,,6.5078,6.0592
17-Jan-94,,6.484,6.0152
18-Jan-94,,6.4074,5.9412
19-Jan-94,,6.2832,5.8332
20-Jan-94,,6.2949,5.8619
21-Jan-94,,6.3178,5.8931
24-Jan-94,,6.3085,5.8728
25-Jan-94,,6.3312,5.8774
26-Jan-94,,6.379,5.9147
27-Jan-94,,6.4568,5.9592
28-Jan-94,,6.4011,5.9174
31-Jan-94,,6.355,5.9006
01-Feb-94,,6.4219,5.9027
02-Feb-94,,6.4304,5.9266
03-Feb-94,,6.5087,5.9936
04-Feb-94,,6.5761,6.0544
07-Feb-94,,6.6729,6.1961
08-Feb-94,,6.6817,6.1241
09-Feb-94,,6.717,6.1698
10-Feb-94,,6.7394,6.2164
11-Feb-94,,6.7111,6.2084
14-Feb-94,,6.7187,6.228
15-Feb-94,,6.7299,6.245
16-Feb-94,,6.6989,6.2149
17-Feb-94,,6.6651,6.1685
18-Feb-94,,6.7592,6.2056
21-Feb-94,,6.9008,6.3082
22-Feb-94,,6.925,6.4396
23-Feb-94,,6.9295,6.465
24-Feb-94,,7.1853,6.7426
25-Feb-94,,7.1299,6.6547
28-Feb-94,,7.0417,6.567
01-Mar-94,,7.2264,6.7094
02-Mar-94,,7.237,6.7395
03-Mar-94,,7.2698,6.7664
04-Mar-94,,7.1688,6.6958
07-Mar-94,,7.0535,6.6112
08-Mar-94,,7.1382,6.6453
09-Mar-94,,7.168,6.7143
10-Mar-94,,7.1522,6.6923
11-Mar-94,,7.3583,6.8724
14-Mar-94,,7.2957,6.8166
15-Mar-94,,7.1485,6.7136
16-Mar-94,,7.3162,6.8755
17-Mar-94,,7.3438,6.8749
18-Mar-94,,7.4753,7.0045
21-Mar-94,,7.4851,6.9729
22-Mar-94,,7.4044,6.9066
23-Mar-94,,7.4994,7.0163
24-Mar-94,,7.7668,7.3093
25-Mar-94,,7.9129,7.4727
28-Mar-94,,7.84,7.4541
29-Mar-94,,7.939,7.6114
30-Mar-94,,7.746,7.5051
31-Mar-94,,7.6467,7.3976
05-Apr-94,,7.718,7.5133
06-Apr-94,,7.6621,7.4152
07-Apr-94,,7.7009,7.4463
08-Apr-94,,7.7752,7.4843
11-Apr-94,,7.6802,7.4283
12-Apr-94,,7.7017,7.4428
13-Apr-94,,7.7706,7.4782
14-Apr-94,,7.7635,7.4789
15-Apr-94,,7.6523,7.4081
18-Apr-94,,7.9134,7.6344
19-Apr-94,,7.9326,7.6668
20-Apr-94,,8.0306,7.7732
