SERIES,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
XUDLADG,Effective exchange rate index - Australian Dollar (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLASG,Effective exchange rate index - Austrian Schilling (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLBFG,Effective exchange rate index - Belgian Franc (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLBK67,Effective exchange rate index - Sterling (Jan 2005 = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLBK82,Broad Effective exchange rate index - Sterling (Jan 2005 = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLCDG,Effective exchange rate index - Canadian Dollar (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLDKG,Effective exchange rate index - Danish Krone (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLDMG,Effective exchange rate index - Deutschemark (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLERG,Effective exchange rate index - Euro (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLFFG,Effective exchange rate index - French Franc (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLFMG,Effective exchange rate index - Finnish Mark (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLGBG,Old IMF-based Effective exchange rate index - Sterling (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLGDG,Effective exchange rate index - Greek Drachma (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLILG,Effective exchange rate index - Italian Lire (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLIPG,Effective exchange rate index - Irish Punt (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLJYG,Effective exchange rate index - Japanese Yen (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLNDG,Effective exchange rate index - New Zealand Dollar (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLNGG,Effective exchange rate index - Netherlands Guilder (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLNKG,Effective exchange rate index - Norwegian Krone (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XUDLPEG,Effective exchange rate index - Portuguese Escudo (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLSFG,Effective exchange rate index - Swiss Franc (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLSKG,Effective exchange rate index - Swedish Krona (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLSPG,Effective exchange rate index - Spanish Peseta (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
XUDLUSG,Effective exchange rate index - US $ (1990 average = 100),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATE,XUDLADG,XUDLASG,XUDLBFG,XUDLBK67,XUDLBK82,XUDLCDG,XUDLDKG,XUDLDMG,XUDLERG,XUDLFFG,XUDLFMG,XUDLGBG,XUDLGDG,XUDLILG,XUDLIPG,XUDLJYG,XUDLNDG,XUDLNGG,XUDLNKG,XUDLPEG,XUDLSFG,XUDLSKG,XUDLSPG,XUDLUSG
02-Jan-75,195.9967,77.5,95.52,,,119.95,110.8548,62.28,104.7682,122.47,104.49,136.16,527.65,197.5,135.11,47.5297,241.4791,75.85,115.6895,536.58,57.6887,147.6445,170.09,117.3693
03-Jan-75,195.3923,77.73,95.68,,,119.804,110.2321,62.58,105.26,122.61,104.16,135.88,526.19,197.3,134.92,47.4388,240.5405,76.01,116.1209,534.99,57.3866,148.2755,169.36,117.1071
06-Jan-75,195.3424,77.89,96.36,,,119.6986,109.7022,62.83,105.815,122.5,104.05,135.71,526.01,198.01,134.82,47.2623,240.5681,75.79,116.1149,534.54,57.1185,149.3018,168.73,116.7672
07-Jan-75,195.6501,78.1,96.35,,,119.9565,109.7525,62.87,105.9291,122.76,103.94,135.71,523.89,197.04,134.81,47.2536,240.9494,76.4,116.5425,534.77,57.2102,148.5869,168.18,116.5889
08-Jan-75,195.9412,77.85,95.97,,,119.9496,110.295,62.52,105.6749,123.22,104.33,135.95,524.46,197.69,134.97,47.3702,241.6304,76.22,116.1921,537.21,56.6812,148.3117,168.82,116.9035
09-Jan-75,195.635,77.67,95.98,,,120.3052,110.3887,62.91,105.7062,122.84,103.96,135.97,525.38,196.9,134.98,47.3397,241.0654,75.97,116.2623,533.84,56.4961,148.2865,168.5,116.8024
10-Jan-75,195.5876,78.02,96.09,,,120.005,110.4613,62.82,105.8629,123.11,104.12,135.92,525.22,196.67,134.95,47.2981,241.1052,76.32,116.6156,534.21,56.5775,148.0066,168.43,116.7792
13-Jan-75,195.4773,78.06,96.13,,,120.4861,110.483,62.79,105.7322,123.25,104.11,136.05,524.91,196.36,135.04,47.2953,243.0153,76.07,116.8621,534.57,56.6411,148.2207,168.32,116.6711
14-Jan-75,196.0145,78.06,95.93,,,120.449,110.1106,62.66,105.3553,122.92,104.38,136.3,526.15,196.69,135.21,47.4048,241.6653,75.65,116.5882,534.72,56.5343,147.9062,168.92,117.011
15-Jan-75,195.4925,78.22,95.87,,,120.2417,109.3895,62.85,105.6655,123.22,104,136.23,525.64,196.25,135.15,47.3703,241.1912,75.95,116.5995,531.41,56.5538,147.1668,168.23,116.898
16-Jan-75,195.6728,77.93,96.07,,,119.9845,109.6586,62.87,105.7491,123.23,103.98,136.15,526.57,196.38,135.11,47.3335,241.4333,75.96,116.8364,531.64,56.5586,147.7224,168.27,116.8404
17-Jan-75,195.716,78.08,96.24,,,119.7723,109.545,62.72,105.8118,123.46,104.2,136.03,544.21,196.57,135.03,47.3004,241.3163,76.02,116.9705,532.18,56.5879,147.7745,168.42,116.8573
20-Jan-75,195.5301,78.24,96.49,,,119.6112,109.1801,62.94,106.0399,123.56,103.85,135.73,523.26,195.97,134.82,47.2062,241.0499,76.03,116.8859,530.82,57.3492,147.8338,167.74,116.6731
21-Jan-75,195.6713,78.3,96.74,,,119.7639,109.7954,63.14,106.1084,122.53,104.32,135.91,523.55,196.32,134.96,47.1797,241.2674,76.27,117.1703,532.95,57.1423,147.7808,167.64,116.4839
