SERIES,DESCRIPTION
XUDLGPS,STERLING GOLD PM FIXING
,
DATE,XUDLGPS
02-Jan-79,111.0458
03-Jan-79,108.4594
04-Jan-79,110.7994
05-Jan-79,111.7332
08-Jan-79,110.2
09-Jan-79,110.6774
10-Jan-79,110.0529
11-Jan-79,110.2926
12-Jan-79,109.1821
15-Jan-79,108.724
16-Jan-79,110.314
17-Jan-79,113.2343
18-Jan-79,115.3846
19-Jan-79,115.0851
22-Jan-79,117.6176
23-Jan-79,115.2536
24-Jan-79,118.1268
25-Jan-79,117.4064
26-Jan-79,118.0911
29-Jan-79,117.9125
30-Jan-79,116.9957
31-Jan-79,117.3193
01-Feb-79,115.8275
02-Feb-79,116.1463
05-Feb-79,122.2653
06-Feb-79,122.6302
07-Feb-79,125.0435
08-Feb-79,125.1561
09-Feb-79,123.2456
12-Feb-79,121.9421
13-Feb-79,120.4928
14-Feb-79,120.0549
15-Feb-79,123.6463
16-Feb-79,123.3154
19-Feb-79,123.9013
20-Feb-79,123.2105
21-Feb-79,124.8817
22-Feb-79,125.5848
23-Feb-79,124.8446
26-Feb-79,122.9962
27-Feb-79,122.6074
28-Feb-79,124.2092
01-Mar-79,122.9857
02-Mar-79,122.663
05-Mar-79,118.082
06-Mar-79,118.3834
07-Mar-79,119.1354
08-Mar-79,116.9968
09-Mar-79,118.288
12-Mar-79,117.5464
13-Mar-79,117.0796
14-Mar-79,117.712
15-Mar-79,117.881
16-Mar-79,119.9076
19-Mar-79,119.7183
20-Mar-79,119.1203
21-Mar-79,118.1657
22-Mar-79,119.3659
23-Mar-79,119.0827
26-Mar-79,118.0728
27-Mar-79,118.9514
28-Mar-79,119.2486
29-Mar-79,117.524
30-Mar-79,116.1868
02-Apr-79,115.8811
03-Apr-79,116.3636
04-Apr-79,116.0062
05-Apr-79,116.155
06-Apr-79,114.7404
09-Apr-79,114.7909
10-Apr-79,114.0146
11-Apr-79,114.0704
12-Apr-79,112.1148
17-Apr-79,111.2124
18-Apr-79,112.4235
19-Apr-79,115.7394
20-Apr-79,114.4074
23-Apr-79,114.5864
24-Apr-79,115.9371
25-Apr-79,118.2975
26-Apr-79,118.5686
27-Apr-79,118.5657
30-Apr-79,118.5883
01-May-79,120.0485
02-May-79,119.0833
03-May-79,118.7437
04-May-79,119.7811
08-May-79,120.4811
09-May-79,120.1075
10-May-79,122.851
11-May-79,122.8927
14-May-79,122.8646
15-May-79,123.0515
16-May-79,124.43
17-May-79,124.7813
18-May-79,125.0732
21-May-79,128.2867
22-May-79,129.8307
23-May-79,128.3528
24-May-79,128.4393
25-May-79,131.9807
29-May-79,133.1906
30-May-79,131.1957
31-May-79,130.4295
01-Jun-79,132.8023
04-Jun-79,131.2777
05-Jun-79,132.0533
06-Jun-79,135.0244
07-Jun-79,133.6027
08-Jun-79,135.5932
11-Jun-79,135.5276
12-Jun-79,133.0858
13-Jun-79,131.2331
14-Jun-79,133.1043
15-Jun-79,133.0988
18-Jun-79,131.8535
19-Jun-79,132.5845
20-Jun-79,131.9962
21-Jun-79,131.8235
22-Jun-79,132.237
25-Jun-79,131.0178
26-Jun-79,130.8157
27-Jun-79,130.705
28-Jun-79,127.2367
29-Jun-79,127.7918
02-Jul-79,128.9954
03-Jul-79,127.8864
04-Jul-79,127.5017
05-Jul-79,129.0286
06-Jul-79,130.8493
09-Jul-79,130.6034
10-Jul-79,130.7087
11-Jul-79,129.801
12-Jul-79,130.3227
13-Jul-79,129.2026
16-Jul-79,130.6268
17-Jul-79,130.3564
18-Jul-79,132.4929
19-Jul-79,130.0369
20-Jul-79,131.3475
23-Jul-79,132.4213
24-Jul-79,131.3751
25-Jul-79,130.7543
26-Jul-79,131.0434
27-Jul-79,132.1236
30-Jul-79,130.0427
31-Jul-79,131.2016
01-Aug-79,127.6006
02-Aug-79,128.5443
03-Aug-79,126.1559
06-Aug-79,125.8682
07-Aug-79,128.8296
08-Aug-79,130.4152
09-Aug-79,132.8415
10-Aug-79,135.03
13-Aug-79,133.6211
14-Aug-79,130.7365
15-Aug-79,135.2375
16-Aug-79,133.775
17-Aug-79,135.5967
20-Aug-79,134.3482
21-Aug-79,135.8192
22-Aug-79,140.1974
23-Aug-79,139.2732
24-Aug-79,140.9223
28-Aug-79,140.7152
29-Aug-79,139.7163
30-Aug-79,141.7499
31-Aug-79,139.7649
03-Sep-79,143.5813
04-Sep-79,145.2384
05-Sep-79,146.7113
06-Sep-79,149.3434
07-Sep-79,146.2954
10-Sep-79,149.6929
11-Sep-79,151.4341
12-Sep-79,151.8811
13-Sep-79,150.8336
14-Sep-79,158.8424
17-Sep-79,163.757
18-Sep-79,174.0389
19-Sep-79,172.1082
20-Sep-79,175.5602
21-Sep-79,170.4782
24-Sep-79,176.5607
25-Sep-79,174.5274
