SERIES,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLADD,Spot exchange rate - Australian Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLASD,Spot exchange rate - Austrian Schilling into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLB8KL,Spot exchange rate - Brazilian Real into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBFD,Spot exchange rate - Belgian Franc into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK24,Spot exchange rate - Cyprus Pound into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK27,Spot exchange rate - Czech Koruna into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK32,Spot exchange rate - Estonian Kroon into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK35,Spot exchange rate - Hungarian Forint into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK38,Spot exchange rate - Lithuanian Litas into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK43,Spot exchange rate - Latvian Lats into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency joined the Euro on 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK46,Spot exchange rate - Maltese Lira into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK49,Spot exchange rate - Polish Zloty into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK54,Spot exchange rate - Slovenian Tolar into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK57,Spot exchange rate - Slovak Koruna into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK64,Spot exchange rate - Indian Rupee into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK65,Spot exchange rate - Israeli Shekel into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK66,Spot exchange rate - Malaysian ringgit into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK69,Spot exchange rate - Russian Ruble into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK72,Spot exchange rate - Thai Baht into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK73,Spot exchange rate - Chinese Yuan into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK74,Spot exchange rate - South Korean Won into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK75,Spot exchange rate - Turkish Lira into Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLCDD,Spot exchange rate - Canadian Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLDKD,Spot exchange rate - Danish Krone into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLDMD,Spot exchange rate - Deutschemark into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLERD,Spot exchange rate - Euro into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLFFD,Spot exchange rate - French Franc into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLFMD,Spot exchange rate - Finnish Markka into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLGBD,Spot exchange rate - Sterling into US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLGDD,Spot exchange rate - Greek Drachma into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLHDD,Spot exchange rate - Hong Kong Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLILD,Spot exchange rate - Italian Lire into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLIPD,Spot exchange rate - Irish Punt into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLJYD,Spot exchange rate - Japanese Yen into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNDD,Spot exchange rate - New Zealand Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNGD,Spot exchange rate - Netherlands Guilder into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNKD,Spot exchange rate - Norwegian Krone into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLPED,Spot exchange rate - Portuguese Escudo into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSFD,Spot exchange rate - Swiss Franc into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSGD,Spot exchange rate - Singapore Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSKD,Spot exchange rate - Swedish Krona  into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSPD,Spot exchange rate - Spanish Peseta into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSRD,Spot exchange rate - Saudi Riyal into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLTWD,Spot exchange rate - Taiwan Dollar into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLZRD,Spot exchange rate - South African Rand into US $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,XUDLADD,XUDLASD,XUDLB8KL,XUDLBFD,XUDLBK24,XUDLBK27,XUDLBK32,XUDLBK35,XUDLBK38,XUDLBK43,XUDLBK46,XUDLBK49,XUDLBK54,XUDLBK57,XUDLBK64,XUDLBK65,XUDLBK66,XUDLBK69,XUDLBK72,XUDLBK73,XUDLBK74,XUDLBK75,XUDLCDD,XUDLDKD,XUDLDMD,XUDLERD,XUDLFFD,XUDLFMD,XUDLGBD,XUDLGDD,XUDLHDD,XUDLILD,XUDLIPD,XUDLJYD,XUDLNDD,XUDLNGD,XUDLNKD,XUDLPED,XUDLSFD,XUDLSGD,XUDLSKD,XUDLSPD,XUDLSRD,XUDLTWD,XUDLZRD
02-Jan-75,0.754,17.18,,36.29,,,,,,,,,,,,,,,,,,,1.0079,5.657,2.42,0.7633,4.4562,3.573,0.4281,30.0483,,651.2,0.4281,300.75,0.7631,2.5025,5.2295,24.73,2.5375,,4.1045,56.2,3.55,,0.6885
03-Jan-75,0.7552,17.03,,36.04,,,,,,,,,,,,,,,,,,,1.0085,5.6575,2.3995,0.7585,4.4305,3.566,0.4271,29.9781,,648.65,0.4271,300.65,0.7651,2.4845,5.1855,24.69,2.5375,,4.07,56.16,3.55,,0.6869
06-Jan-75,0.7537,16.87,,35.57,,,,,,,,,,,,,,,,,,,1.0086,5.645,2.377,0.7524,4.405,3.546,0.4252,29.7789,,642.5,0.4252,300.85,0.7634,2.4745,5.152,24.56,2.5325,,4.02,56,3.55,,0.6884
07-Jan-75,0.7518,16.8,,35.5,,,,,,,,,,,,,,,,,,,1.0062,5.635,2.372,0.751,4.3912,3.546,0.4246,29.8685,,644.4,0.4246,300.65,0.7613,2.4515,5.1287,24.52,2.525,,4.0325,56.1,3.55,,0.6857
08-Jan-75,0.752,16.97,,35.82,,,,,,,,,,,,,,,,,,,1.0069,5.6395,2.395,0.7554,4.3987,3.551,0.4258,29.9912,,645.75,0.4258,300.7,0.7605,2.4705,5.1685,24.52,2.5615,,4.0585,56.14,3.55,,0.6901
09-Jan-75,0.7532,16.98,,35.8,,,,,,,,,,,,,,,,,,,1.0039,5.63,2.383,0.7551,4.4095,3.561,0.4256,29.9239,,647.85,0.4256,300.77,0.7624,2.4762,5.1625,24.67,2.5675,,4.057,56.25,3.55,,0.6898
10-Jan-75,0.753,16.88,,35.69,,,,,,,,,,,,,,,,,,,1.0062,5.6175,2.381,0.7534,4.3937,3.551,0.4251,29.8888,,647.4,0.4251,300.82,0.7619,2.461,5.14,24.61,2.56,,4.0575,56.17,3.55,,0.689
13-Jan-75,0.7529,16.88,,35.69,,,,,,,,,,,,,,,,,,,1.0022,5.6165,2.3827,0.754,4.391,3.551,0.4248,29.9208,,648.5,0.4248,300.82,0.7559,2.4695,5.129,24.6,2.558,,4.052,56.22,3.55,,0.6871
14-Jan-75,0.7527,16.98,,35.97,,,,,,,,,,,,,,,,,,,1.0032,5.667,2.3994,0.7588,4.4242,3.561,0.4261,30.0081,,650.95,0.4261,300.9,0.7613,2.4962,5.1687,24.72,2.576,,4.0809,56.33,3.55,,0.6906
15-Jan-75,0.7541,16.89,,35.88,,,,,,,,,,,,,,,,,,,1.0046,5.693,2.3875,0.7562,4.404,3.569,0.4254,29.9588,,650.5,0.4254,300.77,0.7625,2.48,5.163,24.82,2.568,,4.094,56.41,3.55,,0.6894
16-Jan-75,0.7528,16.92,,35.74,,,,,,,,,,,,,,,,,,,1.0065,5.666,2.3827,0.7546,4.395,3.561,0.4249,29.8492,,648.95,0.4249,300.75,0.761,2.475,5.14,24.76,2.5635,,4.071,56.29,3.55,,0.6879
17-Jan-75,0.7526,16.88,,35.65,,,,,,,,,,,,,,,,,,,1.0082,5.6675,2.3845,0.7537,4.3837,3.551,0.4249,28.8613,,647.7,0.4249,300.87,0.7613,2.4712,5.1305,24.71,2.5605,,4.0665,56.18,3.55,,0.6894
20-Jan-75,0.7524,16.76,,35.42,,,,,,,,,,,,,,,,,,,1.0091,5.665,2.3687,0.7503,4.3642,3.551,0.4244,29.9011,,647,0.4244,300.9,0.7613,2.461,5.1185,24.69,2.5175,,4.0525,56.2,3.55,,0.6893
21-Jan-75,0.7509,16.7,,35.27,,,,,,,,,,,,,,,,,,,1.0075,5.618,2.3582,0.7487,4.3875,3.526,0.4231,29.8137,,644.95,0.4231,300.72,0.7596,2.448,5.0915,24.55,2.521,,4.042,56.15,3.55,,0.6901
