SERIES,DESCRIPTION,,,,,,,,,,,,,
XUDLBK23,Spot exchange rate - Cyprus Pound into Euro,,,,,,,,,,,,,
XUDLBK26,Spot exchange rate - Czech Koruna into Euro,,,,,,,,,,,,,
XUDLBK29,Spot exchange rate - Estonian Kroon into Euro,,,,,,,,,,,,,
XUDLBK34,Spot exchange rate - Hungarian Forint into Euro,,,,,,,,,,,,,
XUDLBK37,Spot exchange rate - Lithuanian Litas into Euro,,,,,,,,,,,,,
XUDLBK42,Spot exchange rate - Latvian Lats into Euro,,,,,,,,,,,,,
Currency joined the Euro on 01/01/2014,,,,,,,,,,,,,,
XUDLBK45,Spot exchange rate - Maltese Lira into Euro,,,,,,,,,,,,,
XUDLBK48,Spot exchange rate - Polish Zloty into Euro,,,,,,,,,,,,,
XUDLBK53,Spot exchange rate - Slovenian Tolar into Euro,,,,,,,,,,,,,
XUDLBK56,Spot exchange rate - Slovak Koruna into Euro,,,,,,,,,,,,,
XUDLBK63,Spot exchange rate - Japanese Yen into Euro,,,,,,,,,,,,,
XUDLBK68,Spot exchange rate - Swiss Franc into Euro,,,,,,,,,,,,,
XUDLBK76,Spot exchange rate - Danish Krone into Euro,,,,,,,,,,,,,
XUDLSER,Spot exchange rate - Sterling into Euro,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATE,XUDLBK23,XUDLBK26,XUDLBK29,XUDLBK34,XUDLBK37,XUDLBK42,XUDLBK45,XUDLBK48,XUDLBK53,XUDLBK56,XUDLBK63,XUDLBK68,XUDLBK76,XUDLSER
02-Jan-75,,,,,,,,,,,,,,0.5609
03-Jan-75,,,,,,,,,,,,,,0.5631
06-Jan-75,,,,,,,,,,,,,,0.5651
07-Jan-75,,,,,,,,,,,,,,0.5654
08-Jan-75,,,,,,,,,,,,,,0.5637
09-Jan-75,,,,,,,,,,,,,,0.5636
10-Jan-75,,,,,,,,,,,,,,0.5642
13-Jan-75,,,,,,,,,,,,,,0.5634
14-Jan-75,,,,,,,,,,,,,,0.5615
15-Jan-75,,,,,,,,,,,,,,0.5626
16-Jan-75,,,,,,,,,,,,,,0.5631
17-Jan-75,,,,,,,,,,,,,,0.5637
20-Jan-75,,,,,,,,,,,,,,0.5656
21-Jan-75,,,,,,,,,,,,,,0.5651
22-Jan-75,,,,,,,,,,,,,,0.564
23-Jan-75,,,,,,,,,,,,,,0.5673
24-Jan-75,,,,,,,,,,,,,,0.5682
27-Jan-75,,,,,,,,,,,,,,0.5691
28-Jan-75,,,,,,,,,,,,,,0.5705
29-Jan-75,,,,,,,,,,,,,,0.5678
30-Jan-75,,,,,,,,,,,,,,0.5675
31-Jan-75,,,,,,,,,,,,,,0.5658
03-Feb-75,,,,,,,,,,,,,,0.5652
04-Feb-75,,,,,,,,,,,,,,0.5615
05-Feb-75,,,,,,,,,,,,,,0.5617
06-Feb-75,,,,,,,,,,,,,,0.5634
07-Feb-75,,,,,,,,,,,,,,0.5634
10-Feb-75,,,,,,,,,,,,,,0.5633
11-Feb-75,,,,,,,,,,,,,,0.5643
12-Feb-75,,,,,,,,,,,,,,0.5636
13-Feb-75,,,,,,,,,,,,,,0.5667
14-Feb-75,,,,,,,,,,,,,,0.5666
17-Feb-75,,,,,,,,,,,,,,0.5678
18-Feb-75,,,,,,,,,,,,,,0.5672
19-Feb-75,,,,,,,,,,,,,,0.5655
20-Feb-75,,,,,,,,,,,,,,0.5678
21-Feb-75,,,,,,,,,,,,,,0.5678
24-Feb-75,,,,,,,,,,,,,,0.5669
25-Feb-75,,,,,,,,,,,,,,0.5665
26-Feb-75,,,,,,,,,,,,,,0.5685
27-Feb-75,,,,,,,,,,,,,,0.5701
28-Feb-75,,,,,,,,,,,,,,0.57
03-Mar-75,,,,,,,,,,,,,,0.5699
04-Mar-75,,,,,,,,,,,,,,0.5675
05-Mar-75,,,,,,,,,,,,,,0.5671
06-Mar-75,,,,,,,,,,,,,,0.5661
07-Mar-75,,,,,,,,,,,,,,0.5654
10-Mar-75,,,,,,,,,,,,,,0.5661
11-Mar-75,,,,,,,,,,,,,,0.5664
12-Mar-75,,,,,,,,,,,,,,0.5654
13-Mar-75,,,,,,,,,,,,,,0.5649
14-Mar-75,,,,,,,,,,,,,,0.5659
17-Mar-75,,,,,,,,,,,,,,0.5658
18-Mar-75,,,,,,,,,,,,,,0.5665
19-Mar-75,,,,,,,,,,,,,,0.5672
20-Mar-75,,,,,,,,,,,,,,0.5663
21-Mar-75,,,,,,,,,,,,,,0.5654
24-Mar-75,,,,,,,,,,,,,,0.5646
25-Mar-75,,,,,,,,,,,,,,0.5644
26-Mar-75,,,,,,,,,,,,,,0.5637
27-Mar-75,,,,,,,,,,,,,,0.5644
01-Apr-75,,,,,,,,,,,,,,0.5649
02-Apr-75,,,,,,,,,,,,,,0.5651
03-Apr-75,,,,,,,,,,,,,,0.5645
04-Apr-75,,,,,,,,,,,,,,0.5628
07-Apr-75,,,,,,,,,,,,,,0.5657
08-Apr-75,,,,,,,,,,,,,,0.5671
09-Apr-75,,,,,,,,,,,,,,0.5675
10-Apr-75,,,,,,,,,,,,,,0.5675
11-Apr-75,,,,,,,,,,,,,,0.5674
14-Apr-75,,,,,,,,,,,,,,0.5679
15-Apr-75,,,,,,,,,,,,,,0.5679
16-Apr-75,,,,,,,,,,,,,,0.5683
17-Apr-75,,,,,,,,,,,,,,0.5683
18-Apr-75,,,,,,,,,,,,,,0.5668
21-Apr-75,,,,,,,,,,,,,,0.5689
22-Apr-75,,,,,,,,,,,,,,0.572
23-Apr-75,,,,,,,,,,,,,,0.5718
24-Apr-75,,,,,,,,,,,,,,0.5736
25-Apr-75,,,,,,,,,,,,,,0.5731
28-Apr-75,,,,,,,,,,,,,,0.5734
29-Apr-75,,,,,,,,,,,,,,0.5736
30-Apr-75,,,,,,,,,,,,,,0.5749
01-May-75,,,,,,,,,,,,,,0.576
02-May-75,,,,,,,,,,,,,,0.5773
05-May-75,,,,,,,,,,,,,,0.579
06-May-75,,,,,,,,,,,,,,0.58
07-May-75,,,,,,,,,,,,,,0.5819
08-May-75,,,,,,,,,,,,,,0.5848
09-May-75,,,,,,,,,,,,,,0.5883
12-May-75,,,,,,,,,,,,,,0.5926
13-May-75,,,,,,,,,,,,,,0.596
14-May-75,,,,,,,,,,,,,,0.5952
15-May-75,,,,,,,,,,,,,,0.5916
16-May-75,,,,,,,,,,,,,,0.5925
19-May-75,,,,,,,,,,,,,,0.594
20-May-75,,,,,,,,,,,,,,0.5936
21-May-75,,,,,,,,,,,,,,0.5942
22-May-75,,,,,,,,,,,,,,0.5921
23-May-75,,,,,,,,,,,,,,0.592
27-May-75,,,,,,,,,,,,,,0.5924
28-May-75,,,,,,,,,,,,,,0.593
29-May-75,,,,,,,,,,,,,,0.5935
30-May-75,,,,,,,,,,,,,,0.5916
02-Jun-75,,,,,,,,,,,,,,0.5914
03-Jun-75,,,,,,,,,,,,,,0.5931
04-Jun-75,,,,,,,,,,,,,,0.5927
05-Jun-75,,,,,,,,,,,,,,0.5919
06-Jun-75,,,,,,,,,,,,,,0.5914
09-Jun-75,,,,,,,,,,,,,,0.5917
10-Jun-75,,,,,,,,,,,,,,0.5945
11-Jun-75,,,,,,,,,,,,,,0.6019
12-Jun-75,,,,,,,,,,,,,,0.6044
13-Jun-75,,,,,,,,,,,,,,0.6016
16-Jun-75,,,,,,,,,,,,,,0.6047
17-Jun-75,,,,,,,,,,,,,,0.607
18-Jun-75,,,,,,,,,,,,,,0.605
19-Jun-75,,,,,,,,,,,,,,0.6044
20-Jun-75,,,,,,,,,,,,,,0.6051
23-Jun-75,,,,,,,,,,,,,,0.6039
24-Jun-75,,,,,,,,,,,,,,0.6078
25-Jun-75,,,,,,,,,,,,,,0.6085
