SERIES,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLADS,Spot exchange rate - Australian Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLASS,Spot exchange rate - Austrian Schilling into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBFS,Spot exchange rate - Belgian Franc into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK22,Spot exchange rate - Cyprus Pound into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK25,Spot exchange rate - Czech Koruna into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK28,Spot exchange rate - Estonian Kroon into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK33,Spot exchange rate - Hungarian Forint into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK36,Spot exchange rate - Lithuanian Litas into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK39,Spot exchange rate - Latvian Lats into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency joined the Euro on 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK44,Spot exchange rate - Maltese Lira into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK47,Spot exchange rate - Polish Zloty into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK52,Spot exchange rate - Slovenian Tolar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK55,Spot exchange rate - Slovak Koruna into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK78,Spot exchange rate - Israeli Shekel into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK83,Spot exchange rate - Malaysian ringgit into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK85,Spot exchange rate - Russian Ruble into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK87,Spot exchange rate - Thai Baht into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK89,Spot exchange rate - Chinese Yuan into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK93,Spot exchange rate - South Korean Won into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK95,Spot exchange rate - Turkish Lira into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLBK97,Spot exchange rate - Indian Rupee into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLCDS,Spot exchange rate - Canadian Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLDKS,Spot exchange rate - Danish Krone into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLDMS,Spot exchange rate - Deutschemark into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLERS,Spot exchange rate - Euro into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLFFS,Spot exchange rate - French Franc into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLFMS,Spot exchange rate - Finnish Markka into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLGDS,Spot exchange rate - Greek Drachma into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLHDS,Spot exchange rate - Hong Kong Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLIPS,Spot exchange rate - Irish Punt into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLJYS,Spot exchange rate - Japanese Yen into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNDS,Spot exchange rate - New Zealand Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNGS,Spot exchange rate - Netherlands Guilder into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLNKS,Spot exchange rate - Norwegian Krone into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLPES,Spot exchange rate - Portuguese Escudo into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSFS,Spot exchange rate - Swiss Franc into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSGS,Spot exchange rate - Singapore Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSKS,Spot exchange rate - Swedish Krona into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSPS,Spot exchange rate - Spanish Peseta into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLSRS,Spot exchange rate - Saudi Riyal into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLTWS,Spot exchange rate - Taiwan Dollar into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLUSS,Spot exchange rate - US $ into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUDLZRS,Spot exchange rate - South African Rand into Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,XUDLADS,XUDLASS,XUDLBFS,XUDLBK22,XUDLBK25,XUDLBK28,XUDLBK33,XUDLBK36,XUDLBK39,XUDLBK44,XUDLBK47,XUDLBK52,XUDLBK55,XUDLBK78,XUDLBK83,XUDLBK85,XUDLBK87,XUDLBK89,XUDLBK93,XUDLBK95,XUDLBK97,XUDLCDS,XUDLDKS,XUDLDMS,XUDLERS,XUDLFFS,XUDLFMS,XUDLGDS,XUDLHDS,XUDLIPS,XUDLJYS,XUDLNDS,XUDLNGS,XUDLNKS,XUDLPES,XUDLSFS,XUDLSGS,XUDLSKS,XUDLSPS,XUDLSRS,XUDLTWS,XUDLUSS,XUDLZRS
02-Jan-75,1.7613,40.1308,84.7698,,,,,,,,,,,,,,,,,,,2.3544,13.2142,5.6529,,10.4092,8.3462,70.1899,,1,702.522,1.7824,5.8456,12.2156,57.7668,5.9273,,9.5877,131.2776,8.2924,,2.3359,1.6082
03-Jan-75,1.7682,39.874,84.3841,,,,,,,,,,,,,,,,,,,2.3613,13.2465,5.6182,,10.3736,8.3494,70.1908,,1,703.9419,1.7914,5.8172,12.1413,57.8092,5.9413,,9.5295,131.493,8.312,,2.3414,1.6082
06-Jan-75,1.7726,39.6749,83.6535,,,,,,,,,,,,,,,,,,,2.372,13.2759,5.5902,,10.3597,8.3395,70.034,,1,707.5391,1.7953,5.8195,12.1165,57.7602,5.9559,,9.4542,131.7008,8.3489,,2.3518,1.619
07-Jan-75,1.7706,39.5674,83.6096,,,,,,,,,,,,,,,,,,,2.3698,13.2716,5.5865,,10.3422,8.3515,70.3463,,1,708.0909,1.7931,5.7738,12.0791,57.7495,5.9469,,9.4973,132.1267,8.361,,2.3552,1.615
08-Jan-75,1.7661,39.854,84.1233,,,,,,,,,,,,,,,,,,,2.3647,13.2444,5.6247,,10.3303,8.3395,70.4344,,1,706.194,1.7859,5.802,12.1382,57.5852,6.0157,,9.5314,131.8448,8.3372,,2.3485,1.6207
09-Jan-75,1.7697,39.8962,84.1157,,,,,,,,,,,,,,,,,,,2.3588,13.2282,5.5991,,10.3606,8.3669,70.3093,,1,706.6891,1.7913,5.8181,12.1298,57.9646,6.0326,,9.5323,132.165,8.3411,,2.3496,1.6207
