SERIES,DESCRIPTION,,,,,,,,,,,,,,,,,,,
IUM2WDT,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year variable rate mortgage (95% LTV) to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUM5WTL,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMB6RH,Monthly interest rate of UK resident banks (excl. Central Bank) and building societies' sterling fixed rate bond deposits from households (in percent) not seasonally adjusted - 2 year,,,,,,,,,,,,,,,,,,,
IUMB6RI,Monthly interest rate of UK resident banks (excl. Central Bank) and building societies' sterling fixed rate bond deposits from households (in percent) not seasonally adjusted - 3 year,,,,,,,,,,,,,,,,,,,
IUMB6VJ,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling instant access deposits including unconditional bonuses from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMB6VK,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling instant access deposits excluding unconditional bonuses from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMB6VL,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling cash ISA deposits including unconditional bonuses from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMB6VM,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling cash ISA deposits excluding unconditional bonuses from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMB6VN,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling one year fixed rate cash ISA deposits from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMBV24,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling Lifetime Tracker mortgage to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMBV48,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year variable rate mortgage (75% LTV) to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMCCTL,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling credit card lending to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMODTL,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling overdraft households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMTHAK,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling instant access deposits from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMTLMV,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling standard variable rate mortgage to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMWTFA,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling fixed rate bond deposits from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMWTIS,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling cash ISA deposits from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMWTTA,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling time deposits households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMZICQ,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (60% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
IUMZID2,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling two year fixed rate cash ISA deposits from households (in percent) not seasonally adjusted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DATE,IUM2WDT,IUM5WTL,IUMB6RH,IUMB6RI,IUMB6VJ,IUMB6VK,IUMB6VL,IUMB6VM,IUMB6VN,IUMBV24,IUMBV48,IUMCCTL,IUMODTL,IUMTHAK,IUMTLMV,IUMWTFA,IUMWTIS,IUMWTTA,IUMZICQ,IUMZID2
31-Jan-95,,9.48,,,,,,,,,,22.2,18.52,3.43,8.21,,,5.32,,
28-Feb-95,,9.41,,,,,,,,,,22,18.5,3.53,8.33,,,5.5,,
31-Mar-95,,9.36,,,,,,,,,,22.39,18.15,3.64,8.36,,,5.51,,
30-Apr-95,,9.52,,,,,,,,,,22.85,18.16,3.64,8.36,,,5.52,,
31-May-95,,9.53,,,,,,,,,,22.78,18.13,3.63,8.36,,,5.5,,
30-Jun-95,,9.01,,,,,,,,,,22.78,18.12,3.62,8.35,,,5.5,,
31-Jul-95,,8.94,,,,,,,,,,22.81,18.1,3.61,8.36,,,5.49,,
31-Aug-95,,8.92,,,,,,,,,,22.64,18.07,3.6,8.36,,,5.45,,
30-Sep-95,,8.69,,,,,,,,,,22.77,18.09,3.52,8.36,,,5.32,,
31-Oct-95,,8.26,,,,,,,,,,22.84,18.02,3.15,8,,,4.93,,
30-Nov-95,,8.2,,,,,,,,,,22.85,17.99,3.16,7.96,,,4.93,,
31-Dec-95,,8.19,,,,,,,,,,23.01,17.96,3.16,7.95,,,4.89,,
31-Jan-96,,7.93,,,,,,,,,,22.61,17.85,2.77,7.72,5.86,,4.62,,
29-Feb-96,,7.77,,,,,,,,,,22.55,17.86,2.6,7.5,5.84,,4.5,,
31-Mar-96,,7.82,,,,,,,,,,22.58,17.8,2.55,7.46,5.87,,4.41,,
30-Apr-96,,7.94,,,,,,,,,,22.53,17.79,2.38,7.3,5.87,,4.27,,
31-May-96,,8.2,,,,,,,,,,22.38,17.72,2.34,7.17,6.08,,4.21,,
30-Jun-96,,8.16,,,,,,,,,,22.36,17.69,2.32,7.15,6.21,,4.2,,
31-Jul-96,,8.25,,,,,,,,,,22.34,17.65,2.25,7.15,6.11,,4.16,,
31-Aug-96,,8.28,,,,,,,,,,22.03,18.1,2.15,6.99,5.97,,4.04,,
30-Sep-96,,8.16,,,,,,,,,,22.08,18.09,2.15,6.93,6.02,,4.04,,
31-Oct-96,,8.17,,,,,,,,,,22.16,18.11,2.12,6.92,5.85,,4.02,,
30-Nov-96,,8.02,,,,,,,,,,22.32,17.98,2.13,6.92,5.93,,4.02,,
31-Dec-96,,8.29,,,,,,,,,,22.41,17.93,2.17,7.01,5.96,,4.09,,
31-Jan-97,0,8.34,,,,,,,,7,0,22.14,17.94,2.3,7.18,6.02,,4.25,,
28-Feb-97,0,8.43,,,,,,,,7,0,22.08,17.96,2.31,7.22,5.93,,4.26,,
31-Mar-97,0,8.1,,,,,,,,7,0,22.06,17.63,2.36,7.21,6.38,,4.29,,
30-Apr-97,0,8.07,,,,,,,,7,0,22.08,17.26,2.4,7.22,6.34,,4.5,,
31-May-97,0,8.08,,,,,,,,7,0,21.99,17.18,2.41,7.27,6.73,,4.58,,
30-Jun-97,0,8.07,,,,,,,,7.25,0,21.96,17.13,2.55,7.64,6.65,,4.83,,
31-Jul-97,0,7.97,,,,,,,,7.5,0,22.26,17.18,2.9,7.86,6.68,,5.22,,
31-Aug-97,0,7.95,,,,,,,,7.75,0,22.48,17.18,3.11,8.15,6.86,,5.44,,
30-Sep-97,0,7.91,,,,,,,,8,0,22.44,17.3,3.32,8.33,6.92,,5.74,,
31-Oct-97,0,7.74,,,,,,,,8,0,22.57,17.27,3.29,8.36,6.91,,5.67,,
30-Nov-97,0,7.46,,,,,,,,8,0,22.61,17.34,3.31,8.37,6.96,,5.68,,
31-Dec-97,0,7.56,,,,,,,,8.25,0,22.77,17.31,3.38,8.5,7.1,,5.75,,
31-Jan-98,0,7.54,,,,,,,,8.25,0,22.49,17.31,3.44,8.56,7.19,,5.87,,
28-Feb-98,0,7.3,,,,,,,,8.25,0,22.38,17.32,3.45,8.59,6.99,,5.9,,
31-Mar-98,0,7.22,,,,,,,,8.25,0,22.38,17.29,3.44,8.59,6.98,,5.89,,
30-Apr-98,7.5,7.01,,,,,,,,8.25,7.25,22.41,17.3,3.44,8.59,7.13,,5.86,,
31-May-98,7.5,6.96,,,,,,,,8.25,7.25,22.38,17.2,3.35,8.59,7.12,,5.97,,
30-Jun-98,7.5,6.83,,,,,,,,8.25,7.25,22.15,17.26,3.38,8.59,7.05,,5.99,,
31-Jul-98,7.5,7.06,,,,,,,,8.5,7.5,22.26,17.26,3.58,8.8,7.06,,6.14,,
31-Aug-98,7.75,7.16,,,,,,,,8.5,7.65,22.27,17.26,3.59,8.83,7.23,,6.17,,
30-Sep-98,7.79,7.04,,,,,,,,8.5,7.65,22.29,17.22,3.62,8.87,7.15,,6.18,,
31-Oct-98,7.8,6.81,,,,,,,,8.5,7.66,22.21,17.25,3.55,8.85,6.73,,6.14,,
30-Nov-98,7.56,6.7,,,,,,,,8.25,7.56,22.27,17.25,3.19,8.58,6.3,,5.81,,
31-Dec-98,7.06,6.54,,,,,,,,7.75,7.06,22.19,17.24,2.62,8,6,,5.09,,
31-Jan-99,6.56,6.06,,,,,,,,7.25,6.41,21.41,17.23,2.52,7.6,5.48,,4.67,,
28-Feb-99,6.3,5.85,,,,,,,,7,6.17,20.89,17.22,2.23,7.35,5.09,,4.39,,
31-Mar-99,5.71,6.07,,,,,,,,6.5,5.71,20.69,17.2,1.95,6.85,5.03,,4,,
30-Apr-99,5.63,6,,,,,,,,6.5,5.59,20.83,17.2,1.95,6.83,5.04,6.32,3.96,,
31-May-99,5.53,6.04,,,,,,,,6.25,5.52,20.01,17.19,1.86,6.75,4.98,6.29,3.9,,
30-Jun-99,5.5,6.32,,,,,,,,6,5.43,19.95,17.19,1.84,6.73,5.03,6.28,3.89,,
31-Jul-99,5.59,6.39,,,,,,,,6,5.45,19.86,17.25,1.77,6.72,5.06,6.2,3.83,,
