,Central Europe and the Baltics,United Kingdom,United States,Argentina,Australia,Brazil,China,Canada,France,Germany,India,Indonesia,Italy,Japan,Mexico,Russian Federation,Saudi Arabia,South Africa,"Korea, Rep.",Turkey
1960,,,,,,,,6935104204.23144,,,,,,,,,,2238599105.4558,,
1961,,,,,,,,7178117325.11185,,,,,,,,,,2337999065.73557,,
1962,,,,,,,,7403822268.40182,,,,,,,,,,2498999001.4,,
1963,,,,,,,,8059572362.3824,,,,,,,,,,2696398922.51899,,
1964,,,,,,,,9358848109.88486,,,,,,,,,,2846198862.65893,,
1965,,,,,,,,9955964208.68471,,,,,,,,,,2913398835.80582,,
1966,,,,,,,,11636631699.6043,,,,,,,,,,3123398751.88986,,
1967,,,,,,,,13092680457.6524,,,,,,,,,,3385198647.27462,,
1968,,,,,,,,14963426052.063,,,,,,,,,,3760398497.34476,,
1969,,,,,,,,16486673051.2259,,,,,,,,,,3859798457.62453,,
1970,,27623977939.4912,53900000000.0,,,,,19207896864.0529,,,,,17091201742.9088,,,,,3904598439.72246,,
1971,,31462134266.6812,56110000000.0,,,,,20817575551.6018,,44180571189.681,,,19360731119.7771,,,,2859480229.60454,4325491620.14275,,
1972,,34015365821.081,62730000000.0,,,,,23965946774.1063,,52901057667.2197,,,23595919038.4809,,,,4275284708.1234,5255072359.42604,,
1973,,41819712845.88,88450000000.0,,,,,29733000547.1104,,75072689961.5358,,,28051127586.2257,,,,8058622004.44276,7230920097.51479,,
1974,,53545813005.1201,119080000000.0,,,,,38440249585.9131,,99169754105.3587,,,36624691171.58,,,,31515492966.6241,9996662197.19107,,2081000000.0
1975,,59440065897.7617,130420000000.0,,,9552000000.0,,38092728387.6897,68248377440.3913,102628887018.873,5506716461.9692,,42080787106.6155,,,,28729713698.9164,10323214081.4409,,2017000000.0
1976,,62967217314.4687,142320000000.0,4632000000.0,,10979000000.0,,44713483712.2795,72973482962.3865,118992582402.344,6466191483.17676,,44720929045.1608,,,,37388101993.5944,9840549991.443,9341000000.0,2540000000.0
1977,,75600604769.3411,151900000000.0,6602000000.0,,13130000000.0,,47885251903.2735,84313118006.9683,136612238002.662,7565571017.55048,,54993696130.1939,,,,42458791552.059,11913999989.64,12830000000.0,2287000000.0
1978,,91119888678.2891,177525000000.0,7488000000.0,,13823000000.0,,53410993784.8041,104961538327.85,165858852250.948,8124589101.05027,,68128599214.3299,,,,39160931053.1193,14670549987.243,16770000000.0,2755000000.0
1979,,116755054998.106,223270300000.0,9179000000.0,,16719000000.0,,63795054481.521,130892500177.401,198485597917.175,9679969986.92072,,87848407072.0876,,15181000000.0,,62850421193.5868,19719170174.3075,19097000000.0,2935000000.0
1980,,146071955345.42,271788000000.0,9897000000.0,,21869000000.0,,74976797707.6052,151617717128.542,217390721280.087,11274397263.3685,,95626389205.6389,,20875000000.0,,106765128072.793,28501651956.2234,20041500000.0,3621000000.0
1981,,136167525551.713,294295000000.0,10859000000.0,,25541000000.0,,80973478178.0381,142933789673.621,199702943148.582,11234710725.9819,23797000000.0,92401520822.916,,26061000000.0,,119443903835.541,23621057036.358,24161800000.0,5967000000.0
1982,,127520175822.223,275167000000.0,9197000000.0,,21982000000.0,23637000000.0,79104531786.7954,128426866586.616,201328384012.068,12159028818.9729,20251000000.0,89910963168.2201,,26218000000.0,,78767953290.6019,20081946595.1331,23862000000.0,7808000000.0
